ac_number,party_21,share_21,turnout_21,reserved,region,party_26,share_26,constituency,district,region_master,margin_21,mpct_21,margin_26,mpct_26,flipped,margin_change
116,AIADMK,49.23,75.57,GEN,Kongu,TVK,33.1,Sulur,Nilgiris,Kongu,31932,13.21,4790,1.75,True,-27142
117,AIADMK,43.78,66.13,GEN,Kongu,TVK,40.24,Kavundampalayam,Coimbatore,Kongu,9776,3.15,42140,11.58,True,32364
118,AIADMK,40.16,59.21,GEN,Kongu,TVK,40.91,Coimbatore North,Coimbatore,Kongu,4001,1.97,21992,9.73,True,17991
119,AIADMK,53.89,70.22,GEN,Kongu,AIADMK,36.09,Thondamuthur,Coimbatore,Kongu,41630,18.06,14725,5.7,False,-26905
120,BJP,34.38,60.69,GEN,Kongu,DMK,38.16,Coimbatore South,Coimbatore,Kongu,1728,1.12,2271,1.45,True,543
121,AIADMK,40.22,61.73,GEN,Kongu,TVK,38.08,Singanallur,Coimbatore,Kongu,10854,5.37,19139,8.66,True,8285
122,AIADMK,43.68,70.64,GEN,Kongu,TVK,37.31,Kinathukadavu,Coimbatore,Kongu,1095,0.47,11710,4.37,True,10615
123,AIADMK,45.44,77.34,GEN,Kongu,DMK,34.22,Pollachi,Coimbatore,Kongu,1725,0.97,4627,2.55,True,2902
124,AIADMK,49.37,70.04,SC,Kongu,DMK,36.34,Valparai,Coimbatore,Kongu,12223,8.42,9371,6.23,True,-2852
125,AIADMK,49.85,71.31,GEN,Kongu,DMK,33.67,Udumalpet,Coimbatore,Kongu,21895,11.27,2882,1.42,True,-19013
126,AIADMK,46.35,72.45,GEN,Kongu,DMK,37.43,Madathukulam,Coimbatore,Kongu,6438,3.54,15968,8.48,True,9530
127,DMK,52.86,73.33,GEN,South,AIADMK,32.11,Palani,Dindigul,South,30056,14.63,693,0.33,True,-29363
128,DMK,54.51,83.08,GEN,South,DMK,46.17,Oddanchatram,Dindigul,South,28742,14.25,43249,21.45,False,14507
129,DMK,72.11,77.96,GEN,South,DMK,44.79,Athoor,Dindigul,South,135571,58.96,22368,9.43,False,-113203
130,AIADMK,49.49,75.07,SC,South,TVK,34.71,Nilakottai,Dindigul,South,27618,14.94,2925,1.48,True,-24693
131,AIADMK,47.84,78.95,GEN,South,AIADMK,35.84,Natham,Dindigul,South,11932,5.3,11869,4.96,False,-63
132,AIADMK,46.43,69.27,GEN,South,DMK,35.13,Dindigul,Dindigul,South,17747,9.1,1131,0.53,True,-16616
133,DMK,49.97,80.16,GEN,South,DMK,37.5,Vedasandur,Dindigul,South,17553,8.24,10063,4.44,False,-7490
134,DMK,52.72,81.92,GEN,Kongu,DMK,39.11,Aravakurichi,Karur,Kongu,24816,14.01,19382,10.7,False,-5434
135,DMK,49.08,83.57,GEN,Kongu,AIADMK,32.99,Karur,Karur,Kongu,12448,6.0,1821,0.84,True,-10627
136,DMK,53.37,84.17,SC,Kongu,TVK,32.94,Krishnarayapuram,Karur,Kongu,31625,17.48,3503,1.85,True,-28122
137,DMK,51.06,86.16,GEN,Kongu,DMK,32.59,Kulithalai,Karur,Kongu,23540,11.92,579,0.28,False,-22961
138,DMK,44.23,76.02,GEN,Delta,TVK,34.43,Manapparai,Tiruchirappalli,Delta,12243,5.52,1426,0.59,True,-10817
139,DMK,47.41,76.15,GEN,Delta,TVK,40.49,Srirangam,Tiruchirappalli,Delta,19915,8.29,33590,13.17,True,13675
140,DMK,64.52,67.01,GEN,Delta,DMK,44.94,Tiruchirapalli (West),Tiruchirappalli,Delta,85109,46.48,4786,2.44,False,-80323
141,DMK,54.56,66.87,GEN,Delta,TVK,50.07,Tiruchirapalli (East),Tiruchirappalli,Delta,53797,31.12,27416,15.02,True,-26381
142,DMK,53.51,66.59,GEN,Delta,TVK,42.06,Thiruverambur,Tiruchirappalli,Delta,49697,25.23,8705,4.08,True,-40992
143,DMK,48.59,79.23,GEN,Delta,AIADMK,32.82,Lalgudi,Tiruchirappalli,Delta,16949,9.7,2739,1.48,True,-14210
144,DMK,59.14,79.63,GEN,Delta,DMK,38.82,Manachanallur,Tiruchirappalli,Delta,59618,30.31,12364,5.89,False,-47254
145,DMK,50.43,75.98,GEN,Delta,TVK,37.69,Musiri,Tiruchirappalli,Delta,26836,14.93,17442,9.22,True,-9394
146,DMK,49.91,76.63,SC,Delta,TVK,35.93,Thuraiyur,Tiruchirappalli,Delta,22071,12.55,9614,5.21,True,-12457
147,DMK,50.87,78.2,SC,Central,TVK,35.83,Perambalur,Perambalur,Central,31034,12.93,14393,5.67,True,-16641
148,DMK,47.26,80.05,GEN,Central,DMK,37.84,Kunnam,Perambalur,Central,6329,2.88,15557,6.75,False,9228
149,DMK,46.16,84.54,GEN,Central,AIADMK,40.37,Ariyalur,Ariyalur,Central,3234,1.44,24498,10.39,True,21264
150,DMK,46.0,80.38,GEN,Central,PMK,38.94,Jayankondam,Ariyalur,Central,5452,2.52,18490,8.09,True,13038
151,DMK,49.78,76.3,SC,Central,DMK,35.91,Tittakudi,Cuddalore,Central,21563,12.82,2629,1.5,False,-18934
152,INC,39.17,77.02,GEN,Central,DMDK,33.15,Vriddhachalam,Cuddalore,Central,862,0.44,2387,1.14,True,1525
153,DMK,45.8,74.25,GEN,Central,AIADMK,37.76,Neyveli,Cuddalore,Central,977,0.6,10962,6.49,True,9985
154,DMK,47.6,79.6,GEN,Central,AIADMK,37.2,Panruti,Cuddalore,Central,4697,2.38,10663,5.06,True,5966
155,DMK,46.46,74.77,GEN,Central,TVK,37.22,Cuddalore,Cuddalore,Central,5151,2.83,15519,8.15,True,10368
156,DMK,51.04,82.06,GEN,Central,DMK,35.84,Kurinjipadi,Cuddalore,Central,17527,8.82,7589,3.55,False,-9938
157,AIADMK,48.92,78.57,GEN,Central,AIADMK,36.52,Bhuvanagiri,Cuddalore,Central,8259,4.19,2487,1.2,False,-5772
158,AIADMK,50.16,71.93,GEN,Central,DMK,35.48,Chidambaram,Cuddalore,Central,16937,9.24,5747,2.92,True,-11190
159,VCK,49.02,75.87,SC,Central,VCK,45.33,Kattumannarkoil,Cuddalore,Central,10565,6.02,33063,17.6,False,22498
160,DMK,49.16,74.91,SC,Delta,DMK,35.64,Sirkali,Nagapattinam,Delta,12148,6.35,11417,5.7,False,-731
161,INC,42.17,70.14,GEN,Delta,INC,36.09,Mayiladuthurai,Nagapattinam,Delta,2742,1.57,10845,5.75,False,8103
162,DMK,46.24,75.19,GEN,Delta,DMK,36.98,Poompuhar,Nagapattinam,Delta,3299,1.59,8260,3.77,False,4961
163,VCK,46.17,71.97,GEN,Delta,DMK,37.21,Nagapattinam,Nagapattinam,Delta,7238,5.04,9781,6.46,True,2543
164,CPI(M),47.55,79.43,SC,Delta,CPI(M),37.0,Kilvelur,Nagapattinam,Delta,16985,11.88,2278,1.5,False,-14707
165,AIADMK,49.8,80.6,GEN,Delta,AIADMK,36.48,Vedaranyam,Nagapattinam,Delta,12329,7.8,7331,4.52,False,-4998
166,CPI,52.23,76.74,SC,Delta,CPI,38.77,Thiruthuraipundi,Tiruvarur,Delta,30068,16.18,12922,6.76,False,-17146
167,DMK,45.11,74.34,GEN,Delta,AMMK,35.25,Mannargudi,Tiruvarur,Delta,37393,19.35,1566,0.81,True,-35827
168,DMK,52.29,73.25,GEN,Delta,DMK,42.87,Thiruvarur,Tiruvarur,Delta,51174,24.57,18148,8.33,False,-33026
169,AIADMK,46.7,81.08,GEN,Delta,AIADMK,44.7,Nannilam,Tiruvarur,Delta,4424,1.99,41724,18.03,False,37300
170,DMK,48.26,75.76,SC,Delta,DMK,38.26,Thiruvidamarudur,Thanjavur,Delta,10680,5.38,14116,6.76,False,3436
171,DMK,48.62,71.45,GEN,Delta,TVK,37.76,Kumbakonam,Thanjavur,Delta,21383,10.82,679,0.33,True,-20704
172,DMK,43.95,74.76,GEN,Delta,IUML,33.35,Papanasam,Thanjavur,Delta,16273,8.26,1065,0.51,True,-15208
173,DMK,48.82,78.11,GEN,Delta,DMK,36.21,Thiruvaiyaru,Thanjavur,Delta,53650,25.37,8555,3.85,False,-45095
174,DMK,53.25,65.72,GEN,Delta,TVK,44.12,Thanjavur,Thanjavur,Delta,47149,24.2,16955,8.53,True,-30194
175,AIADMK,46.95,78.29,GEN,Delta,DMK,44.42,Orathanad,Thanjavur,Delta,28835,15.03,35028,17.94,True,6193
176,DMK,44.62,71.66,GEN,Delta,DMK,35.9,Pattukkottai,Thanjavur,Delta,25269,14.26,13754,7.49,False,-11515
177,DMK,52.17,77.02,GEN,Delta,DMK,34.56,Peravurani,Thanjavur,Delta,23503,13.76,3162,1.79,False,-20341
178,CPI(M),44.23,74.45,SC,Delta,TVK,35.08,Gandharvakottai,Pudukkottai,Delta,12721,8.07,11039,6.59,True,-1682
179,AIADMK,52.83,85.43,GEN,Delta,AIADMK,51.87,Viralimalai,Pudukkottai,Delta,23598,12.2,62073,30.44,False,38475
180,DMK,47.7,72.94,GEN,Delta,DMK,35.1,Pudukkottai,Pudukkottai,Delta,13001,7.23,1867,0.98,False,-11134
181,DMK,41.0,75.85,GEN,Delta,DMK,31.87,Thirumayam,Pudukkottai,Delta,1382,0.79,1492,0.82,False,110
182,DMK,51.17,78.47,GEN,Delta,DMK,35.98,Alangudi,Pudukkottai,Delta,25847,15.04,12977,7.19,False,-12870
183,INC,48.7,70.21,GEN,Delta,TVK,40.08,Arantangi,Pudukkottai,Delta,30893,18.38,10062,5.51,True,-20831
184,INC,35.75,66.23,GEN,South,TVK,44.21,Karaikudi,Sivaganga,South,21589,10.16,46074,20.1,True,24485
185,DMK,49.19,71.98,GEN,South,TVK,38.65,Tiruppattur,Sivaganga,South,37374,17.73,1,0.0,True,-37373
186,AIADMK,40.66,66.29,GEN,South,TVK,34.45,Sivaganga,Sivaganga,South,11253,5.57,15081,7.04,True,3828
187,DMK,44.01,72.05,SC,South,TVK,33.54,Manamadurai,Sivaganga,South,14091,6.94,1208,0.58,True,-12883
188,AIADMK,45.6,74.23,GEN,South,INC,31.5,Melur,Madurai,South,35162,19.24,2724,1.43,True,-32438
189,DMK,51.59,71.34,GEN,South,TVK,43.74,Madurai East,Madurai,South,49604,20.85,16547,6.09,True,-33057
190,DMK,48.04,79.49,SC,South,TVK,33.8,Sholavandan,Madurai,South,17045,9.72,2678,1.42,True,-14367
191,DMK,46.64,63.6,GEN,South,TVK,45.03,Madurai North,Madurai,South,22916,14.64,18038,11.15,True,-4878
192,DMK,42.49,63.8,GEN,South,TVK,44.11,Madurai South,Madurai,South,6515,4.41,21529,15.21,True,15014
193,DMK,48.99,61.03,GEN,South,TVK,42.68,Madurai Central,Madurai,South,34176,22.87,19128,12.87,True,-15048
194,AIADMK,41.59,65.12,GEN,South,TVK,40.78,Madurai West,Madurai,South,9121,4.52,11931,5.51,True,2810
195,AIADMK,43.96,72.73,GEN,South,TVK,44.75,Thiruparankundram,Madurai,South,29489,12.5,41553,16.27,True,12064
196,AIADMK,45.51,78.13,GEN,South,DMK,38.22,Thirumangalam,Madurai,South,14087,6.39,23807,10.31,True,9720
197,AIADMK,33.53,73.82,GEN,South,TVK,29.34,Usilampatti,Madurai,South,7477,3.52,1805,0.81,True,-5672
198,DMK,44.64,74.85,GEN,South,DMK,34.2,Andipatti,Theni,South,8538,4.07,9554,4.4,False,1016
199,DMK,45.71,69.94,SC,South,TVK,40.56,Periyakulam,Theni,South,21321,10.57,19321,9.15,True,-2000
200,AIADMK,46.58,76.3,GEN,South,DMK,38.62,Bodinayakanur,Theni,South,11021,5.13,6805,3.08,True,-4216
201,DMK,51.81,69.51,GEN,South,TVK,40.55,Cumbum,Theni,South,42413,20.97,751,0.36,True,-41662
202,DMK,41.5,73.89,GEN,South,TVK,35.81,Rajapalayam,Virudhunagar,South,3898,2.18,10605,5.79,True,6707
203,AIADMK,38.09,73.14,SC,South,TVK,33.93,Srivilliputhur,Virudhunagar,South,12738,6.88,8581,4.44,True,-4157
204,DMK,38.68,75.17,GEN,South,DMK,31.23,Sattur,Virudhunagar,South,11179,5.83,5989,3.01,False,-5190
205,INC,42.66,70.16,GEN,South,TVK,35.51,Sivakasi,Virudhunagar,South,17319,9.36,11670,6.03,True,-5649
206,DMK,45.32,71.27,GEN,South,TVK,37.93,Virudhunagar,Virudhunagar,South,21339,13.2,9391,5.6,True,-11948
207,DMK,53.18,75.6,GEN,South,DMK,36.49,Aruppukottai,Virudhunagar,South,39034,22.8,4943,2.77,False,-34091
208,DMK,59.15,77.46,GEN,South,DMK,41.43,Tiruchuli,Virudhunagar,South,60992,35.29,13485,7.44,False,-47507
209,DMK,46.59,70.59,SC,South,DMK,31.18,Paramakudi,Ramanathapuram,South,13285,7.29,3548,1.87,False,-9737
210,INC,39.33,68.72,GEN,South,TVK,31.57,Tiruvadanai,Ramanathapuram,South,13852,6.86,2513,1.14,True,-11339
211,DMK,51.88,68.81,GEN,South,DMK,37.52,Ramanathapuram,Ramanathapuram,South,50479,23.58,12459,5.24,False,-38020
212,DMK,46.06,70.29,GEN,South,DMK,29.39,Mudukulathur,Ramanathapuram,South,20721,9.37,16598,7.17,False,-4123
213,DMK,54.05,76.52,GEN,South,DMK,33.4,Vilathikulam,Thoothukudi,South,38549,23.06,8228,4.71,False,-30321
214,DMK,49.0,65.07,GEN,South,TVK,49.11,Thoothukkudi,Thoothukudi,South,50310,26.7,37731,18.43,True,-12579
215,DMK,50.58,70.04,GEN,South,DMK,39.09,Tiruchendur,Thoothukudi,South,25263,14.47,5872,3.16,False,-19391
216,INC,46.75,72.34,GEN,South,TVK,33.34,Srivaikuntam,Thoothukudi,South,17372,10.57,1186,0.67,True,-16186
217,DMK,41.11,69.82,SC,South,TVK,41.62,Ottapidaram,Thoothukudi,South,8510,4.79,29083,14.83,True,20573
218,AIADMK,37.89,67.43,GEN,South,DMK,31.74,Kovilpatti,Thoothukudi,South,12403,6.86,843,0.43,True,-11560
219,DMK,38.92,71.48,SC,South,AIADMK,33.01,Sankarankovil,Tirunelveli,South,5297,2.89,6489,3.3,True,1192
220,DMK,39.08,71.87,SC,South,DMK,33.22,Vasudevanallur,Tirunelveli,South,2367,1.35,6583,3.47,False,4216
221,AIADMK,43.08,70.35,GEN,South,DMK,35.97,Kadayanallur,Tirunelveli,South,24349,11.86,6253,2.82,True,-18096
222,INC,41.71,72.4,GEN,South,DMK,33.92,Tenkasi,Tirunelveli,South,370,0.17,10299,4.38,True,9929
223,AIADMK,36.44,77.4,GEN,South,DMK,31.32,Alangulam,Tirunelveli,South,3539,1.74,7798,3.53,True,4259
224,BJP,46.7,66.91,GEN,South,TVK,34.72,Tirunelveli,Tirunelveli,South,23107,11.69,11414,5.23,True,-11693
225,AIADMK,47.96,72.03,GEN,South,AIADMK,34.3,Ambasamudram,Tirunelveli,South,16915,9.52,10245,5.36,False,-6670
226,DMK,55.32,57.76,GEN,South,DMK,44.15,Palayamcottai,Tirunelveli,South,52141,32.37,13805,7.64,False,-38336
227,INC,39.43,68.59,GEN,South,TVK,35.79,Nanguneri,Tirunelveli,South,16486,8.56,16419,7.84,True,-67
228,DMK,43.95,68.08,GEN,South,TVK,34.99,Radhapuram,Tirunelveli,South,5925,3.16,12313,6.16,True,6388
229,AIADMK,48.8,75.19,GEN,South,AIADMK,31.38,Kanniyakumari,Kanniyakumari,South,16213,7.21,214,0.09,False,-15999
230,BJP,48.21,67.06,GEN,South,DMK,35.6,Nagercoil,Kanniyakumari,South,11669,6.34,7570,3.86,True,-4099
231,INC,49.56,67.27,GEN,South,INC,33.27,Colachel,Kanniyakumari,South,24832,13.57,2833,1.42,False,-21999
232,DMK,51.57,70.08,GEN,South,CPI(M),38.18,Padmanabhapuram,Kanniyakumari,South,26885,15.8,15569,8.62,True,-11316
233,INC,52.12,66.83,GEN,South,INC,40.45,Vilavancode,Kanniyakumari,South,28669,17.08,20970,11.99,False,-7699
234,INC,59.76,65.87,GEN,South,INC,37.42,Killiyoor,Kanniyakumari,South,55400,32.6,1311,0.74,False,-54089
